label,time_s,x_m,v_m_s,theta_rad,omega_rad_s
best,0.0,0.0008554295190025089,0.004153673880253183,-0.0029058202677746045,-0.02967520574553212
best,0.01,0.0006977193982545649,-0.03569569802984203,-0.0020879742931017844,0.19316992480767056
best,0.02,0.00014083306138113256,-0.07568156934484445,0.0009578693090014755,0.4157221251838482
best,0.03,-0.0008159733575845843,-0.11567971444829901,0.006219265878561679,0.6360787105835081
best,0.04,-0.002172764541603101,-0.15567852235540366,0.013667894195850025,0.8529679846016938
best,0.05,-0.003929541337060372,-0.19567683673604966,0.02326305281761397,1.0651862856404295
best,0.06,-0.006086292872069188,-0.2356734702657129,0.03495207016229449,1.2715439910106656
best,0.07,-0.008642986197181913,-0.2756651947568322,0.04867041242380693,1.4708591278718999
best,0.08,-0.011599407439012159,-0.31561905360921844,0.06434101925977555,1.6618094288358416
best,0.09,-0.014953199329226495,-0.3551393244336507,0.08186371424628888,1.841096585563895
best,0.1,-0.018675951957622897,-0.38941120124563194,0.1009834049818417,1.9810581397689189
best,0.11,-0.022572747991075302,-0.3899480054448506,0.12051662386264342,1.9238231261212715
best,0.12,-0.026373208565772223,-0.370144109494533,0.13886496345782137,1.7442376294705866
best,0.13,-0.02995976566566141,-0.3471673104833028,0.15528373478110685,1.5380943872200281
best,0.14,-0.03331063479443551,-0.32300651527151036,0.16956783216840304,1.317498044598703
best,0.15,-0.036417567456038885,-0.2983800170491588,0.18159838587387486,1.0875861329290755
best,0.16,-0.03927777339015659,-0.2736611697743786,0.1912985147017565,0.8516162565257877
best,0.17,-0.04189157002728485,-0.24909815765127016,0.1986205216322795,0.6121659955582933
best,0.18,-0.04426149280596125,-0.2248863980840092,0.20354104685866178,0.37152401548787517
best,0.19,-0.04638413293655113,-0.19964162803396013,0.2060166468765276,0.12338825928240435
best,0.2,-0.0482473935848717,-0.17301050163015133,0.2059690555265661,-0.13290207560354667
best,0.21,-0.04983709347078687,-0.14492947555288044,0.2033214147958789,-0.3964043429399042
best,0.22,-0.05113334638671605,-0.11432110763295862,0.19797884294136583,-0.6716647968252967
best,0.23,-0.05211722318493894,-0.08245425201162085,0.1898650400107179,-0.9504191223918405
best,0.24,-0.05277009579271686,-0.04812026954396975,0.17891902138231647,-1.2378716358845083
best,0.25,-0.05305844937659957,-0.009550447232568655,0.16501248369811616,-1.5422772450791546
best,0.26,-0.05295546561345163,0.030147199862157616,0.14806835565467985,-1.8451263781538114
best,0.27,-0.05245413490168002,0.07011894249216222,0.1281335360683198,-2.1401470713284794
best,0.28,-0.05155295253394834,0.11011753105417364,0.10530116636427178,-2.4243672577559088
best,0.29,-0.05025177789097866,0.15011739753976877,0.07968801589580511,-2.6960358778302527
best,0.3,-0.048550603963264716,0.19011738800302513,0.05142762030032132,-2.9535525942740777
best,0.31,-0.046449430083234475,0.2301173880030247,0.02066935939407043,-3.1953510737265636
best,0.32,-0.04394825620320422,0.27011738800302426,-0.012421925957978603,-3.419907990871104
best,0.33,-0.04104708232317398,0.3101173880030239,-0.04766644128088708,-3.6257588332068407
best,0.34,-0.03774590844314374,0.35011738800302356,-0.08487011558292828,-3.811515946120837
best,0.35000000000000003,-0.03404473456311353,0.3901173880030232,-0.12382546573603485,-3.9758878420438295
best,0.36,-0.029943560683083376,0.43011738800302274,-0.16431265723602514,-4.1176990462971235
best,0.37,-0.025442386803053163,0.47011738800302255,-0.2061007634325761,-4.235909704424923
best,0.38,-0.02054121292302292,0.5101173880030228,-0.24894921427389616,-4.329634191368188
best,0.39,-0.015240039042992714,0.5501173880030223,-0.29260942599881656,-4.398157783511933
best,0.4,-0.009538865162962538,0.590117388003022,-0.3368265816566887,-4.440950777394262
best,0.41000000000000003,-0.003437691282932354,0.6301173880030219,-0.3813415388957307,-4.457679220140597
best,0.42,0.00306348259709779,0.6701173880030212,-0.4258928248622405,-4.448211965552174
best,0.43,0.009964656477127963,0.710117388003021,-0.4702186828060028,-4.412623306890136
best,0.44,0.017265830357158132,0.750117388003021,-0.5140591219878976,-4.351191471594341
best,0.45,0.024967004237188336,0.7901173880030212,-0.5571579314518548,-4.26439279884438
best,0.46,0.03306817811721865,0.8301173880030219,-0.5992646140947596,-4.152891951439641
best,0.47000000000000003,0.04156935199724896,0.8701173880030222,-0.6401362078836621,-4.017528734598381
best,0.48,0.05047052587727924,0.9101173880030219,-0.6795389578252626,-3.8593020073367
best,0.49,0.05977169975730956,0.950117388003022,-0.7172498182593241,-3.6793515606267833
best,0.5,0.06947287363733987,0.9901173880030222,-0.7530577659667399,-3.4789387023646157
best,0.51,0.07957404751736985,1.0301173880030217,-0.7867649146880589,-3.259426379339723
best,0.52,0.09007522139739983,1.0701173880030215,-0.8181874346318567,-3.0222596631314853
best,0.53,0.1007039714371306,1.0556326199430504,-0.8461329936930614,-2.5654227443965967
best,0.54,0.11106029763658078,1.015632619946913,-0.8690047600799318,-2.0082140978830525
best,0.55,0.1210166238360704,0.975632619950927,-0.8862850748790226,-1.4473399467364636
best,0.56,0.13057295003560096,0.9356326199551108,-0.8979432323323452,-0.8839640761899745
best,0.5700000000000001,0.1397292762351742,0.8956326199594792,-0.9039594633848639,-0.3191182467233528
best,0.58,0.14848560243479206,0.8556326199640453,-0.9043238655685503,0.2462474202568061
best,0.59,0.15684192863445673,0.8156326199688305,-0.8990358456547535,0.8112124569851706
best,0.6,0.16479825483417046,0.7756326199738574,-0.8881040857868231,1.3748335050984777
best,0.61,0.17235458103393578,0.7356326199791483,-0.8715470337304716,1.9360922017186577
