stage,algorithm,seed,training_filter,run_id,transitions,updates,generation,successes,mean_hold_final,mean_hold_longest,mean_return,named_successes,subset,top_reached_count,hold_2s_count,boundary_episodes,intervention_fraction,mean_duration,mean_requested_near_saturation_fraction,mean_requested_applied_abs_mean
stage1,DDPG,2,on,train_ddpg_on_warmup5000_seed2,80000,75000,t000080000_u000075000_22790ebc48,20,5.243,5.243,636.8326285379402,3,validation,,,,,,,
stage1,DDPG,2,on,train_ddpg_on_warmup5000_seed2,90000,85000,t000090000_u000085000_ee7e500be5,20,5.606,5.606,615.32221118448,3,validation,,,,,,,
stage1,DDPG,2,on,train_ddpg_on_warmup5000_seed2,100000,95000,t000100000_u000095000_8ce2a78848,20,6.9510000000000005,6.9510000000000005,742.2235589071103,3,validation,,,,,,,
stage1,SAC,0,off,train_sac_off_warmup5000_seed0,0,0,t000000000_u000000000_97d0b1108b,0,0.0,0.0,-4.907707306841838,0,validation,,,,,,,
stage1,SAC,0,off,train_sac_off_warmup5000_seed0,10000,5000,t000010000_u000005000_531a1510c5,0,0.0,0.0,0.046420658704674135,0,validation,,,,,,,
stage1,SAC,0,off,train_sac_off_warmup5000_seed0,20000,15000,t000020000_u000015000_e949cab25d,0,0.0,0.0,18.934064080204838,0,validation,,,,,,,
stage1,SAC,0,off,train_sac_off_warmup5000_seed0,30000,25000,t000030000_u000025000_a294e8e55b,0,0.0,0.02849999999999999,37.172275551825386,0,validation,,,,,,,
stage1,SAC,0,off,train_sac_off_warmup5000_seed0,40000,35000,t000040000_u000035000_5e4bdd1e72,0,0.0,0.0,9.996603594295955,0,validation,,,,,,,
stage1,SAC,0,off,train_sac_off_warmup5000_seed0,50000,45000,t000050000_u000045000_b5d6ad35c0,0,0.0,0.0,58.50720393997697,0,validation,,,,,,,
stage1,SAC,0,off,train_sac_off_warmup5000_seed0,60000,55000,t000060000_u000055000_2f3bc3716a,0,0.0,0.0,155.46581108119727,0,validation,,,,,,,
