category,run_id,algorithm,seed,training_filter,checkpoint_label,checkpoint_transitions,evaluation_filter,subset,episodes,successes,mean_hold_final,mean_hold_longest,hold_2s_count,top_reached_count,mean_first_hold_start,mean_return,exceeds_024_episodes,exceeds_024_resolved_episodes,position_limit_events,refusals,interventions,accepted_decisions,intervention_fraction,intervention_abs_sum,intervention_abs_max,max_abs_position_interval,source,source_sha256,verification
periodic,train_SAC_on_seed0,SAC,0,on,t000030000_u000029872_2fb637ff2b,30000,on,all,23,23,4.868695652173913,4.868695652173913,23,23,5.131304347826087,571.9027697009576,0,0,0,0,457,23000,0.019869565217391305,378.9393258651519,6.13855838736095,0.23999899999999572,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000030000_u000029872_2fb637ff2b/report.json,9350528c198302b351cfc3e35675b85355e0cf0f05e8fa9cd30fcc1a1c46fece,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000040000_u000039872_acabd1aceb,40000,on,validation,20,20,6.183,6.183,20,20,3.817,664.1060198074882,0,0,0,0,485,20000,0.02425,480.0218626723179,6.302646636509817,0.239998999999989,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000040000_u000039872_acabd1aceb/report.json,7f3c4453dac289ffd538a3c859ec19890188c2ee4f54ced7c38ed523c08a78fb,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000040000_u000039872_acabd1aceb,40000,on,named,3,3,6.376666666666668,6.376666666666668,3,3,3.6233333333333335,677.5803850989439,0,0,0,0,67,3000,0.022333333333333334,52.46911729851091,3.8433389658575963,0.23999899999999955,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000040000_u000039872_acabd1aceb/report.json,7f3c4453dac289ffd538a3c859ec19890188c2ee4f54ced7c38ed523c08a78fb,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000040000_u000039872_acabd1aceb,40000,on,all,23,23,6.208260869565217,6.208260869565217,23,23,3.791739130434783,665.8635457150694,0,0,0,0,552,23000,0.024,532.4909799708288,6.302646636509817,0.23999899999999955,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000040000_u000039872_acabd1aceb/report.json,7f3c4453dac289ffd538a3c859ec19890188c2ee4f54ced7c38ed523c08a78fb,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000050000_u000049872_a80d1a4ed3,50000,on,validation,20,20,2.936,2.936,20,20,7.064,571.7896140558724,0,0,0,0,446,20000,0.0223,2512.547831840334,7.983159629874784,0.23999899999999996,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000050000_u000049872_a80d1a4ed3/report.json,a432f77556226aaf8413187020acb9d8439698d6b81d1d28ff4c3bc18644d996,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000050000_u000049872_a80d1a4ed3,50000,on,named,3,3,3.0233333333333334,3.0233333333333334,3,3,6.976666666666667,572.8206480473651,0,0,0,0,70,3000,0.023333333333333334,401.0058959895385,7.971658705234259,0.239998999999996,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000050000_u000049872_a80d1a4ed3/report.json,a432f77556226aaf8413187020acb9d8439698d6b81d1d28ff4c3bc18644d996,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000050000_u000049872_a80d1a4ed3,50000,on,all,23,23,2.9473913043478257,2.9473913043478257,23,23,7.052608695652174,571.924096750415,0,0,0,0,516,23000,0.022434782608695653,2913.5537278298725,7.983159629874784,0.23999899999999996,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000050000_u000049872_a80d1a4ed3/report.json,a432f77556226aaf8413187020acb9d8439698d6b81d1d28ff4c3bc18644d996,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000060000_u000059872_2357c4e1f9,60000,on,validation,20,9,1.7544999999999997,1.7544999999999997,9,20,6.101111111111112,384.8991392021952,0,0,0,0,1797,20000,0.08985,6673.014683615758,7.976701583217069,0.23999899999999996,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000060000_u000059872_2357c4e1f9/report.json,fbae564550a4eac4101468c5aa3f7d4d3c7a5049128ff9205ddb1dbdc3831908,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000060000_u000059872_2357c4e1f9,60000,on,named,3,0,0.0,0.0,0,3,,138.21394931224904,0,0,0,0,429,3000,0.143,1707.7237836465242,7.952056645343923,0.23999899999999968,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000060000_u000059872_2357c4e1f9/report.json,fbae564550a4eac4101468c5aa3f7d4d3c7a5049128ff9205ddb1dbdc3831908,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000060000_u000059872_2357c4e1f9,60000,on,all,23,9,1.5256521739130433,1.5256521739130433,9,23,6.101111111111112,352.7228100861153,0,0,0,0,2226,23000,0.09678260869565218,8380.738467262283,7.976701583217069,0.23999899999999996,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000060000_u000059872_2357c4e1f9/report.json,fbae564550a4eac4101468c5aa3f7d4d3c7a5049128ff9205ddb1dbdc3831908,raw_log_recomputed
