category,run_id,algorithm,seed,training_filter,checkpoint_label,checkpoint_transitions,evaluation_filter,subset,episodes,mean_duration,boundary_episodes,physical_position_excess_resolved,physical_velocity_excess_resolved,physical_acceleration_excess_resolved,mean_requested_mean,mean_requested_rms,mean_applied_mean,mean_applied_rms,mean_requested_applied_abs_mean,mean_requested_near_saturation_fraction,mean_applied_near_saturation_fraction,max_abs_requested_acceleration,max_abs_applied_acceleration,successes,mean_hold_final,mean_hold_longest,hold_2s_count,top_reached_count,mean_first_hold_start,mean_return,exceeds_024_episodes,exceeds_024_resolved_episodes,position_limit_events,refusals,interventions,accepted_decisions,intervention_fraction,intervention_abs_sum,intervention_abs_max,max_abs_position_interval,min_position_margin_interval,min_velocity_margin_interval,source,source_sha256,verification
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000030000_u000025000_726ef902c4,30000,on,named,3,10.0,0,0,0,0,1.9993386420408885,3.854360648700404,-0.0007501714799879067,3.603532314514567,2.7694835499712087,0.866,0.723,4.0,4.0,0,0.0,0.0,0,3,,16.429140735207067,0,0,0,0,1590,3000,0.53,8308.450649913626,7.999999999648187,0.239999,0.01000100000000001,0.8094726893570605,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000030000_u000025000_726ef902c4/report.json,8de06058ac030699edcf6422a9b409b6236187ba1341f45a7409be03ec139365,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000030000_u000025000_726ef902c4,30000,on,all,23,10.0,0,0,0,0,1.9119913338163623,3.866456124801805,0.001930370769810527,3.6315309664214843,2.687842295101391,0.8732608695652174,0.7408695652173912,4.0,4.0,0,0.0,0.0,0,23,,16.852168602097553,0,0,0,0,11726,23000,0.5098260869565218,61820.372787332,7.999999999652655,0.239999,0.01000100000000001,0.7651433706454638,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000030000_u000025000_726ef902c4/report.json,8de06058ac030699edcf6422a9b409b6236187ba1341f45a7409be03ec139365,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000040000_u000035000_d4764ab1ae,40000,on,validation,20,10.0,0,0,0,0,-3.2553766407847404,3.9327700316378085,-0.00020736870720331884,3.5178869162247266,3.255169272077537,0.93725,0.6713,4.0,4.0,0,0.0,0.0,0,20,,25.720709207775496,0,0,0,0,12447,20000,0.62235,65103.385441550745,7.999999999637003,0.239999,0.01000100000000001,0.7984335807220331,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000040000_u000035000_d4764ab1ae/report.json,788c74bd1a5623b92c8994e588a34fbdb1372e4e2e2565ffa6742b839e67ad38,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000040000_u000035000_d4764ab1ae,40000,on,named,3,10.0,0,0,0,0,-3.270895825703939,3.9299701589053897,0.0012989316048580854,3.509505388691295,3.2721947573087973,0.9349999999999999,0.6746666666666666,4.0,4.0,0,0.0,0.0,0,3,,31.924005718761023,0,0,0,0,1862,3000,0.6206666666666667,9816.584271926391,7.999999999574511,0.239999,0.01000100000000001,0.8095595630856782,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000040000_u000035000_d4764ab1ae/report.json,788c74bd1a5623b92c8994e588a34fbdb1372e4e2e2565ffa6742b839e67ad38,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000040000_u000035000_d4764ab1ae,40000,on,all,23,10.0,0,0,0,0,-3.25740088229594,3.932404830846623,-1.0894753456179146e-05,3.5167936735029746,3.257389987542484,0.9369565217391305,0.6717391304347826,4.0,4.0,0,0.0,0.0,0,23,,26.529834839643172,0,0,0,0,14309,23000,0.6221304347826087,74919.96971347713,7.999999999637003,0.239999,0.01000100000000001,0.7984335807220331,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000040000_u000035000_d4764ab1ae/report.json,788c74bd1a5623b92c8994e588a34fbdb1372e4e2e2565ffa6742b839e67ad38,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000050000_u000045000_5054e521eb,50000,on,validation,20,10.0,0,0,0,0,-1.6097169406414031,3.6613598730323766,0.018588368649462676,3.572755948387047,2.1768233934301855,0.7097,0.6731,4.0,4.0,0,0.0,0.05900000000000003,0,20,,140.30508596329477,0,0,0,0,7314,20000,0.3657,43536.46786860371,7.999999999705466,0.239999,0.01000100000000001,0.6189549735106097,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000050000_u000045000_5054e521eb/report.json,dec8ca77e2791420223012f44f5bb2f5a64e5a82a417c3bccdcce89aee90531c,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000050000_u000045000_5054e521eb,50000,on,named,3,10.0,0,0,0,0,-1.6642739427884419,3.677715890943612,0.0009237805906431744,3.610880267755681,2.1807203925157688,0.7136666666666667,0.6960000000000001,4.0,4.0,0,0.0,0.0,0,3,,135.69420468678115,0,0,0,0,1070,3000,0.3566666666666667,6542.161177547307,7.999999999700277,0.239999,0.01000100000000001,0.6222414264677398,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000050000_u000045000_5054e521eb/report.json,dec8ca77e2791420223012f44f5bb2f5a64e5a82a417c3bccdcce89aee90531c,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000050000_u000045000_5054e521eb,50000,on,all,23,10.0,0,0,0,0,-1.6168330713562344,3.6634932666729725,0.016284291946138393,3.577728685695999,2.17733169765874,0.7102173913043479,0.6760869565217391,4.0,4.0,0,0.0,0.051304347826086984,0,23,,139.7036666663582,0,0,0,0,8384,23000,0.3645217391304348,50078.629046151014,7.999999999705466,0.239999,0.01000100000000001,0.6189549735106097,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000050000_u000045000_5054e521eb/report.json,dec8ca77e2791420223012f44f5bb2f5a64e5a82a417c3bccdcce89aee90531c,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000060000_u000055000_5c2057236e,60000,on,validation,20,10.0,0,0,0,0,0.1118566461086273,3.8096742823934497,-0.03862191996648298,3.8151035789337135,0.1504785660751103,0.8362499999999999,0.8423999999999999,4.0,4.0,0,0.0,0.0,0,0,,52.616901395439584,0,0,0,0,1079,20000,0.05395,3009.571321502206,7.999999999693559,0.23999899999839064,0.010001000001609361,0.6507190602978516,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000060000_u000055000_5c2057236e/report.json,2d76673427f99a375169072091f06bae543dfa8b9367aeb11ded7e78cebb2056,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000060000_u000055000_5c2057236e,60000,on,named,3,10.0,0,0,0,0,0.10837318674723306,3.808113858985085,-0.041989329050988795,3.8136450317577104,0.15036251579822188,0.8366666666666666,0.8426666666666667,4.0,4.0,0,0.0,0.0,0,0,,52.386588870620805,0,0,0,0,158,3000,0.05266666666666667,451.08754739466565,7.999999999394815,0.23999899999812457,0.010001000001875454,0.8841589174983837,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000060000_u000055000_5c2057236e/report.json,2d76673427f99a375169072091f06bae543dfa8b9367aeb11ded7e78cebb2056,raw_log_recomputed
