filter,episodes,successes,success_rate,horizons,horizon_rate,horizon_hold_failures,position_limit,velocity_limit,strict_exceedances,resolved_exceedances,resolved_exceedance_rate,successes_without_resolved_exceedance,safe_success_rate,filter_decisions,interventions,intervention_rate,refusals,legacy_max_abs_position_interval_m,safety_max_abs_position_interval_m
off,980,441,0.45,446,0.45510204081632655,5,534,0,585,585,0.5969387755102041,394,0.4020408163265306,,,,0,0.25000000000000083,0.25000000000000083
on,980,796,0.8122448979591836,980,1.0,184,0,0,0,0,0.0,796,0.8122448979591836,980000,115355,0.11770918367346939,0,0.239999,0.239999
